2117_040.png,702,2026,1942,2628,table
2117_329.png,283,240,2126,2810,table
2117_344.png,350,783,2980,1663,table
2135_012.png,1008,520,2278,1666,table
2136_083.png,700,723,3020,1410,table
2306_093.png,453,290,2366,3013,table
5001_025.png,276,490,2290,2616,table
5001_032.png,190,480,2260,2800,table
5008_029.png,252,402,2432,1042,table
5017_041.png,270,1413,2286,2033,table
5028_029.png,416,296,2213,2126,table
5045_074.png,45,90,2355,3045,table
5065_041.png,376,598,2140,1498,table
5067_007.png,150,410,2356,2906,table
5086_072.png,304,1006,1040,1588,table
5086_072.png,302,1626,1804,2502,table
5095_019.png,265,295,2305,2780,table
5099_068.png,266,210,2320,2670,table
5103_020.png,290,393,2333,2770,table
5109_001.png,246,176,2486,770,table
5112_044.png,305,555,2325,2645,table
5117_023.png,566,270,2403,2526,table
5140_040.png,213,380,2240,2356,table
5170_020.png,256,533,2506,3123,table
5182_078.png,333,476,2300,2540,table
5191_015.png,354,512,2074,1214,table
5192_089.png,340,546,2353,1123,table
5195_054.png,350,433,2240,2706,table
5195_077.png,323,833,2340,2453,table
5244_103.png,586,1866,1650,2853,table
5248_035.png,343,580,3106,2200,table
5252_009.png,116,680,2310,2596,table
5265_137.png,280,300,2236,2900,table
5303_003.png,62,494,1158,1482,table
5333_017.png,168,1774,1226,2864,table
5347_145.png,243,413,3043,2380,table
5347_192.png,260,240,2996,2203,table
5361_015.png,130,10,2060,3260,table
5365_159.png,203,346,2443,2703,table
5366_142.png,240,400,2430,2986,table
5367_007.png,480,833,2026,2800,table
5375_004.png,383,730,2376,1390,table
5380_053.png,220,446,2370,3100,table
5385_003.png,403,360,2170,2833,table
5385_012.png,400,430,3106,1970,table
5408_004.png,250,536,2330,2963,table
5412_028.png,276,496,2273,2633,table
5415_006.png,820,663,2273,1070,table
5415_006.png,270,1700,2273,2676,table
5417_044.png,276,760,2233,2213,table
5435_166.png,690,686,2054,930,table
5449_105.png,246,603,2340,2756,table
5515_011.png,263,603,2250,1173,table
5575_112.png,520,476,1890,2366,table
5589_017.png,902,484,3134,1734,table
5592_012.png,156,444,1272,1556,table
5593_036.png,266,280,2400,2550,table
5593_060.png,276,276,2443,2586,table
5611_007.png,273,540,2286,2986,table
5611_013.png,282,962,1132,1238,table
5622_013.png,220,346,2430,656,table
5625_007.png,393,326,2396,1910,table
5625_015.png,493,303,2263,2710,table
5649_040.png,356,1926,896,2190,table
5649_040.png,918,1924,1460,2168,table
5649_063.png,1258,1055,2355,1594,table
5649_076.png,1391,551,2455,831,table
5661_024.png,282,466,2202,960,table
5670_054.png,250,333,2320,2873,table
5673_020.png,276,443,2263,2756,table
5673_050.png,453,473,3053,1546,table
5675_015.png,486,1854,2314,2698,table
5680_016.png,228,498,1558,1094,table
5680_035.png,322,1292,1652,2912,table
5685_032.png,336,584,2290,1742,table
5727_091.png,46,363,2310,2876,table
5727_096.png,100,356,2356,1006,table
5727_109.png,60,368,2314,1010,table
5731_009.png,344,1098,1221,1602,table
5809_003.png,103,423,1486,2446,table
5814_092.png,360,280,2983,2143,table
5820_160.png,140,843,2356,2653,table
5830_049.png,96,893,2286,2880,table
5830_144.png,383,713,2383,3033,table
5830_158.png,373,720,2316,3036,table
5830_164.png,426,736,2373,3030,table
5830_191.png,300,850,2360,3140,table
5830_240.png,330,730,2343,3063,table
5830_462.png,226,730,2240,3046,table
5842_099.png,200,456,1568,1356,table
5848_023.png,246,450,1334,1926,table
5856_026.png,398,550,2128,1710,table
5881_166.png,541,1241,1275,1878,table
5913_002.png,300,410,2453,3160,table
5925_025.png,1700,186,3142,706,table
5926_018.png,363,503,2403,2066,table
5935_149.png,560,646,2923,1960,table
5955_103.png,312,3074,2330,3232,table
5956_026.png,363,443,3146,1766,table
5963_008.png,250,195,2325,3075,table
5992_072.png,190,466,2863,2100,table
6008_014.png,173,1293,2426,2530,table
6114_062.png,1260,560,2180,900,table
6286_013.png,146,2000,2296,2923,table
6294_118.png,202,2054,2216,2732,table
6294_128.png,233,673,2233,1363,table
6294_128.png,603,2440,1873,3060,table
6294_160.png,193,636,2093,2136,table
6294_166.png,266,233,2960,1336,table
6346_024.png,453,806,2180,2423,table
6347_112.png,106,844,2492,1614,table
6415_046.png,203,260,2390,2786,table
6546_011.png,220,663,2766,1646,table
6546_016.png,100,676,2990,1310,table
6575_007.png,175,335,2345,2985,table
6577_020.png,370,486,3086,2196,table
6578_052.png,253,440,2240,2880,table
6580_018.png,243,460,2220,960,table
6580_091.png,306,400,2263,1560,table
6580_125.png,300,406,2983,1830,table
6581_209.png,86,523,2406,1803,table
6583_055.png,176,390,2216,1120,table
6583_055.png,183,1576,2206,2220,table
6585_484.png,273,390,3000,2110,table
6585_486.png,276,363,2993,2100,table
6585_593.png,310,430,3043,2140,table
6790_011.png,553,490,2680,1840,table
6814_006.png,100,380,2036,2713,table
8005_125.png,955,188,1471,982,table
8024_015.png,198,628,1932,1606,table
8025_067.png,1313,1123,2286,2966,table
8031_232.png,830,1421,1520,2060,table
8095_046.png,1564,1806,2204,3038,table
8209_010.png,752,646,1816,902,table
8232_013.png,156,2090,984,2418,table
9500_023.png,107,1370,1234,1594,table
9500_034.png,88,274,1248,742,table
9500_034.png,1230,1130,2374,1528,table
9501_022.png,216,2608,1068,3030,table
9501_032.png,1187,754,2307,1168,table
9501_032.png,1182,1962,2321,2274,table
9501_043.png,44,812,1124,991,table
9501_043.png,61,1278,1131,1570,table
9501_043.png,64,2712,1140,3154,table
9501_043.png,1154,502,2221,1081,table
9502_055.png,608,620,2314,938,table
9502_055.png,612,1252,2316,1460,table
9502_055.png,604,1536,2322,2214,table
9502_061.png,120,313,2270,2580,table
9503_001.png,200,786,2176,2676,table
9503_027.png,73,530,2346,2490,table
9504_025.png,75,1115,1110,1487,table
9506_017.png,1018,490,2231,861,table
9507_030.png,276,313,2313,2703,table
9508_056.png,196,416,2453,2353,table
9508_064.png,1345,425,2431,1122,table
9508_065.png,146,620,2376,986,table
9508_065.png,113,1160,2366,2076,table
9508_065.png,146,2326,2356,2630,table
9508_067.png,156,542,1258,1072,table
9508_067.png,156,1324,1232,2162,table
9508_067.png,1278,2084,2376,2680,table
9509_040.png,1300,2180,2410,2540,table
9509_042.png,120,1414,1238,1832,table
9509_042.png,1292,336,2410,754,table
9509_045.png,102,534,1226,1130,table
9509_045.png,114,2072,1202,2326,table
9509_045.png,94,2498,1200,2960,table
9510_031.png,88,2068,1178,2496,table
9510_031.png,90,2616,1176,2948,table
9510_031.png,1234,2080,2320,2394,table
9510_031.png,1208,2502,2294,2648,table
9510_037.png,78,1436,1190,2036,table
9510_037.png,90,2312,1184,2920,table
9510_037.png,1232,586,2322,928,table
9510_041.png,1240,470,2336,972,table
9510_041.png,1216,1078,2338,1664,table
9511_031.png,136,1934,1194,2184,table
9512_043.png,53,206,2310,2743,table
9513_030.png,226,706,2420,1450,table
9513_030.png,223,1773,2420,2300,table
9514_046.png,1284,1624,2378,1952,table
9514_046.png,1276,2282,2378,2874,table
9515_022.png,134,242,1620,1398,table
9515_023.png,136,232,1616,1340,table
9515_024.png,142,320,844,574,table
9515_024.png,142,1390,1630,2696,table
9516_001.png,540,368,2002,1606,table
9516_041.png,100,480,2280,3175,table
9517_037.png,220,1650,2256,2122,table
9517_045.png,140,386,1758,2048,table
9518_015.png,34,1126,1082,1532,table
9518_015.png,1208,1494,2284,2176,table
9518_018.png,205,1022,1281,1325,table
9518_018.png,208,2502,1275,2825,table
9519_034.png,636,440,2526,2940,table
9519_045.png,576,1740,2444,2230,table
9519_063.png,450,533,2353,1776,table
9519_063.png,470,1942,2336,2680,table
9520_037.png,494,824,1518,1258,table
9520_041.png,470,152,1471,662,table
9520_041.png,470,764,1471,1298,table
9520_041.png,1487,157,2500,665,table
9520_041.png,1487,765,2507,1311,table
9520_041.png,472,1884,2512,2532,table
9521_052.png,736,618,2420,1896,table
9521_052.png,740,2062,2418,2710,table
9522_041.png,86,456,1090,1348,table
9522_041.png,78,1610,1082,2058,table
9522_041.png,1134,632,2170,1616,table
9522_055.png,40,283,963,2626,table
9522_055.png,1144,522,2220,928,table
9525_037.png,1250,2675,2410,2931,table
9525_043.png,54,1114,1208,1364,table
9525_043.png,48,1860,1240,2716,table
9525_043.png,1226,318,2426,1548,table
9526_017.png,845,2668,2224,3060,table
9526_028.png,124,312,1276,1964,table
9526_028.png,1294,458,2418,702,table
9526_028.png,1288,2374,2424,2724,table
9527_018.png,486,420,2363,2440,table
9527_024.png,500,434,2352,870,table
9527_024.png,502,2712,2346,3002,table
9528_043.png,240,1450,2192,2008,table
9528_043.png,246,2182,2204,2846,table
9528_061.png,276,914,2212,1186,table
9528_061.png,276,2108,2242,2576,table
9528_061.png,312,2698,1834,2958,table
9529_050.png,72,342,2042,1158,table
9529_050.png,108,1372,2052,1620,table
9529_050.png,104,2234,2040,2512,table
9530_051.png,90,470,2394,1682,table
9531_070.png,166,368,2328,1088,table
9531_070.png,148,1100,2340,1788,table
9531_073.png,50,260,2336,2876,table
9532_146.png,563,490,2440,2853,table
9533_038.png,1278,454,2326,1358,table
9533_038.png,1270,1774,2328,2368,table
